,question,answer,error_type
834,"Kendra and Laurel have shops that sell different brands of shoe collections. In 2014, Kendra made $8000 less than Laurel made in sales. However, in 2015, Kendra made 20% more money than Laurel made in 2014. If Laurel earned $30000 in 2014, calculate Kendra's total earnings in the two years.","In 2015, Kendra's sales were 20/100 * $30000 = $6000 more than Laurel's.
So, Kendra's total sales for 2015 was $30000 + $6000 = $36000
If Kendra made $8000 less in 2014 than Laurel, she made $30000 - $8000 =$22000 in that year
The total amount of money Kendra made in the two years is $22000 + $36000 = $58000
 58000",None of the above
835,A pair of dogs are barking back and forth at each other from across the street. The poodle barks twice for every one time the terrier barks. The terrier’s owner hushes it every second time it barks. She has to say “hush” six times before the dogs stopped barking. How many times did the poodle bark?,"The terrier barked twice as many times as it was told to hush, so it barked 6 * 2 = 12 times.
The poodle barked two times for every terrier bark, so it barked 12 * 2 = 24 times.
 24",None of the above
836,"Oliver wonders how much water his bathtub can hold. So he takes a bucket that holds 120 ounces and starts filling the bathtub. When it reaches the top, he sees that he filled it 14 times. Then he wonders how much bathwater he uses, so he starts taking away buckets until it gets to the level he puts it at. He needs to take away 3 buckets to do this. Finally, he wonders how much water he uses in a week for his baths, which he takes every day. How much water does he use each week?","He uses 11 buckets to fill his bath normally because 14 - 3 = 11
He uses 1, 320 ounces a day for his baths because 11 x 120 = 1,320
He uses 9, 240 ounces a week for his baths because 7 x 1,320 = 9,240
 9,240",Misunderstanding of a question
837,"The pizza delivery person has 12 pizzas to deliver.  If two of the stops are for orders of two pizzas and the rest are for single pizzas, how many minutes per stop does the delivery person need to average to deliver all of the pizzas in 40 minutes?","If two pizzas will be delivered at two of the stops, the total number of stops will be 12-2=10 stops.
If there are 10 stops in 40 minutes, then the delivery person needs to average 40/10=4 minutes per stop.
 4",Missing / Wrong factual knowledge
838,"240 sixth-grade students were asked about the number of novels they read per month. 1/6 of students read three or more novels, 35% of students read two novels, 5/12 of students read one novel, and the rest of the students do not read anything. Calculate the number of students who do not read novels.","1/6 * 240 students = 40 students. So 40 students read three or more novels.
35/100 * 240 students = 84 students. So 84 students read two novels.
5/12 * 240 students = 100 students. So 100 students read a novel.
240 students – (40 students + 84 students + 100 students) = 240 students – 224 students = 16 students. So 16 students don't read novels.
 16",Calculation error easily solved by a calculator
839,3 years ago James turned 27.  In 5 years Matt will be twice James age.  How old is Matt now?,"James is now 27+3=30 years old
In 5 years James will be 30+5=35 years old
So in 5 years Matt will be 35*2=70 years old
That means Matt is now 70-5=65 years old
 65",Calculation error easily solved by a calculator
840,A large puzzle costs $15. A small puzzle and a large puzzle together cost $23. How much would you pay for 1 large and 3 small puzzles?,"A small puzzle costs $23 - $15 = $8.
Three small puzzles cost $8 x 3 = $24.
So, 1 large and 3 small puzzles cost $24 + $15 = $39.
 39",Calculation error easily solved by a calculator
841,"Hamza has several empty buckets of different sizes, holding either 3, 5, or 6 liters. She fills the 5-liter bucket and pours as much as she can into the 3-liter bucket. Then, she pours the remainder into the 6-liter bucket. How much more water, in liters, can she put into the 6-liter bucket, without overflowing?","Pouring the 5-liter bucket into the 3-liter bucket leaves 5-3=2 liters, which go into the 6-liter bucket.
Then there are 6-2=4 liters that can be added.
 4",Calculation error easily solved by a calculator
842,"Gunner has a box of mittens with 20 fewer pairs than a box of plugs. He decides to put 30 more pairs of plugs into the box of plugs. If the box of mittens has 150 pairs of mittens, how many plugs are there?","Since there are 20 fewer mittens pairs than the plugs, there are 150+20 = 170 pairs of plugs.
When Gunner decides to add 30 more plugs pairs into the box of plugs, the number of plug pairs increases to 170+30 = 200
Since a pair has two, the 200 pairs of plugs total 200*2 = 400 plugs.
 400",Misunderstanding of a question
843,"Erin runs her own launderette and needs to cash in the change from the machines. There are 80 quarters and 100 dimes in every machine in the launderette. When Erin empties all of the machines and cashes in the change, she has a total of $90. She had no money before she emptied the machines and each machine held the same amount of money. How many machines are in the launderette?","There are 4 quarters in a dollar so in quarters, each machine holds 80 quarters / 4 = $20.
There are 10 dimes in a dollar so in dimes, each machine holds 100 dimes / 10 = $10.
Each machine therefore holds $20 in quarters + $10 in dimes = $30.
So Erin must therefore have $90 total income / $30 income per machine = 3 machines.
 3",Misunderstanding of a question
844,"Wes wants to place a large planter pot at each corner of his rectangle-shaped pool.  Each planter will have a large palm fern that is $15.00 per plant, 4 creeping jennies that costs $4.00 per plant and 4 geraniums that cost $3.50 per plant.  How much will it cost to fill all the pots?","Each pot will have 4 creeping jennies that cost $4.00 each so that's 4*4 = $16.00
Each pot will have 4 geraniums that are $3.50 each so that's 4*3.50 = $14.00 each
The fern is $15.00, the creeping jennies are $16.00 and the geraniums are $14.00 for a total of 15+16+14 = $45.00 per pot
He wants a planter at each corner of his rectangle pool. A rectangle has 4 corners so he needs 4 pots at $45.00 per pot for a total of 4*45 = $180.00
 180",Misunderstanding of a question
845,"For every 5 people that attend a poetry class, the teacher gives one of the students a lollipop. If 45 people show up for class, then another 15 come in a while later, how many lollipops did the teacher give away?","The teacher has 45 + 15 = 60 people come in total
For every 5 people, a lollipop is given away so there are 60 / 5 = 12 groups of 5 people and 12 lollipops given away
 12",Extra quantity or Missing quantity
846,Tim's cat bit him.  He decided to get himself and the cat checked out.  His doctor's visits $300 and insurance covered 75%.  His cat's visit cost $120 and his pet insurance covered $60.  How much did he pay?,"The insurance covers 300*.75=$225
So he had to pay 300-225=$75
The cats visit cost 120-60=$60
So in total he paid 75+60=$135
 135",Reached correct solution but proceeded further
847,"The big fashion show is being planned for next week.  The show includes runway models strutting up and down the runway wearing designer clothing in front of an audience.  There are two parts to the show: evening wear and bathing suits.  It takes a model 2 minutes to walk out to the end of the runway and back, and models take turns, one at a time, walking the runway up and back, while wearing different clothes.  If there are 6 models in the show, and each model will wear two sets of bathing suits and three sets of evening wear clothing during the runway portion of the show, how long will it take, in minutes, to complete all of the runway trips during the show?","6 models wearing 2 sets of bathing suits, or a total of 6 * 2 = 12 trips wearing bathing suits.
6 models wearing 3 sets of evening wear, or a total of 6 * 3 = 18 trips wearing evening wear clothes.
Altogether, there will be 12 + 18 = 30 trips up and down the runway.
At 2 minutes per trip, all of the trips will take 30 * 2 = 60 minutes to complete.
 60",Extra quantity or Missing quantity
848,James gets a cable program.  The first 100 channels cost $100 and the next 100 channels cost half that much.  He splits it evenly with his roommate.  How much did he pay?,"The next 100 channels cost 100/2=$50
So the total cost is 100+50=$150
So he pays 150/2=$75
 75",Calculation error easily solved by a calculator
849,"Shawn collected 40 plain pebbles. He painted 9 pebbles red and 13 pebbles blue. He then divided the remaining pebbles equally into 3 groups, and painted them purple, yellow, and green. What is the difference between the number of blue and yellow pebbles?","After painting the red and blue pebbles, Shawn had a remainder of 40 - 9 - 13 = 18 pebbles.
He painted 18/3 = 6 pebbles yellow.
The difference between the number of blue and yellow pebbles is 13 - 6 = 7.
 7",Misunderstanding of a question
850,"Tonya has opened a lemonade stand selling lemonade in small, medium, and large cups at $1, $2 and $3 respectively. At the close of business she ended up making $50.  As she went back through her inventory she noticed that she sold $11 worth of small lemonades and $24 worth of medium lemonades. How many cups of large lemonade did Tonya sell?","1. Tonya sold $11 worth of small lemonades and $24 worth of medium lemonades which makes $11 + $24= $35 for small and medium lemonades.
2. Tonya made a total of $50. If she made $35 selling the two smaller sizes and she sold three sizes in all then $50-$35= $15 worth of large lemonades.
3. The large lemonades sold for $3 each and Tonya sold $15 worth of large lemonades which means she sold $15/$3=5 large cups of lemonade.
 5",Extra quantity or Missing quantity
